Year,IIT Name,Male,Female,Total
2020,Guwahati,717,185,902
2020,Hyderabad,337,88,425
2020,Indore,285,75,360
2020,Kanpur,135,35,"1,183"
2020,Kharagpur,"1,563",340,"1,903"
2020,Madras,899,235,"1,134"
2020,Mandi,262,68,330
2020,Patna,356,71,427
2020,Jodhpur,401,90,491
2020,Roorkee,"1,079",274,"1,353"
2020,Ropar,292,78,370
2020,Dhanbad,900,225,"1,125"
2020,BHU,"1,269",320,"1,589"
2020,Palakkad,149,39,188
2020,Bhilai,146,37,183
2020,Goa,125,32,157
2020,Tirupati,188,49,237
2020,Jammu,188,49,237
2020,Dharwad,135,35,170
2021,Bhubaneswar,382,95,477
2021,Bombay,"1,101",272,"1,373"
2021,Delhi,969,246,1215
2021,Gandhinagar,196,53,249
2021,Guwahati,736,188,924
2021,Hyderabad,381,94,475
2021,Indore,285,75,360
2021,Kanpur,967,246,1213
2021,Kharagpur,"1,537",332,"1,869"
2021,Madras,915,233,1148
2021,Mandi,255,68,323
2021,Patna,450,91,541
2021,Jodhpur,393,90,483
2021,Roorkee,"1,071",277,"1,348"
2021,Ropar,295,74,369
2021,Dhanbad,887,225,1112
2021,BHU,960,315,1275
2021,Palakkad,131,36,167
2021,Bhilai,145,37,182
2021,Goa,123,32,155
2021,Tirupati,140,49,189
2021,Jammu,178,48,226
2021,Dharwad,144,37,181
2022,Bhubaneswar,380,95,475
2022,Bombay,1089,271,1360
2022,Delhi,963,246,1209
2022,Gandhinagar,230,58,288
2022,Guwahati,758,194,952
2022,Hyderabad,404,101,505
2022,Indore,285,75,360
2022,Kanpur,964,246,1210
2022,Kharagpur,1536,336,1872
2022,Madras,901,232,1133
2022,Mandi,268,68,336
2022,Patna,466,116,582
2022,Jodhpur,424,106,530
2022,Roorkee,1076,277,1353
2022,Ropar,316,79,395
2022,Dhanbad,900,225,1125
2022,BHU,1271,318,1589
2022,Palakkad,137,43,180
2022,Bhilai,162,41,203
2022,Goa,125,32,157
2022,Tirupati,188,49,237
2022,Jammu,192,48,240
2022,Dharwad,248,62,310
2023,Bhubaneswar,382,94,476
2023,Bombay,1091,265,1356
2023,Delhi,963,246,1209
2023,Gandhinagar,296,74,370
2023,Guwahati,758,194,952
2023,Hyderabad,476,119,595
2023,Indore,381,99,480
2023,Kanpur,964,246,1210
2023,Kharagpur,1536,333,1869
2023,Madras,902,232,1134
2023,Mandi,416,104,520
2023,Patna,587,146,733
2023,Jodhpur,440,110,550
2023,Roorkee,1076,277,1353
2023,Ropar,344,86,430
2023,Dhanbad,900,225,1125
2023,BHU,1271,318,1589
2023,Palakkad,160,40,200
2023,Bhilai,194,49,243
2023,Goa,125,32,157
2023,Tirupati,193,51,244
2023,Jammu,224,56,280
2023,Dharwad,248,62,310
2024,Bhubaneswar,398,98,496
2024,Bombay,1090,278,1368
2024,Delhi,963,246,1209
2024,Gandhinagar,319,81,400
2024,Guwahati,766,196,962
2024,Hyderabad,475,120,595
2024,Indore,380,100,480
2024,Kanpur,962,248,1210
2024,Kharagpur,1556,363,1919
2024,Madras,897,231,1128
2024,Mandi,422,98,520
2024,Patna,665,152,817
2024,Jodhpur,489,111,600
2024,Roorkee,1078,275,1353
2024,Ropar,344,86,430
2024,Dhanbad,919,206,1125
2024,BHU,1288,301,1589
2024,Palakkad,161,39,200
2024,Bhilai,228,55,283
2024,Goa,125,32,157
2024,Tirupati,204,50,254
2024,Jammu,232,48,280
2024,Dharwad,319,66,385
2025,Bhubaneswar,397,99,496
2025,Bombay,1096,264,1360
2025,Delhi,988,251,1239
2025,Gandhinagar,288,72,360
2025,Guwahati,767,195,962
2025,Hyderabad,504,126,630
2025,Indore,381,99,480
2025,Kanpur,964,246,1210
2025,Kharagpur,1551,368,1919
2025,Madras,892,229,1121
2025,Mandi,416,104,520
2025,Patna,654,163,817
2025,Jodhpur,488,122,610
2025,Roorkee,1076,277,1353
2025,Ropar,517,129,646
2025,Dhanbad,969,241,1210
2025,BHU,1270,319,1589
2025,Palakkad,160,40,200
2025,Bhilai,263,66,329
2025,Goa,132,33,165
2025,Tirupati,203,51,254
2025,Jammu,244,61,305
2025,Dharwad,308,77,385
