Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
2501,237,366,159540,0.6475409836,0.01567631942,-1.804755896
2601,236,366,159540,0.6448087432,0.01630312147,-1.787729236
2701,234,366,159540,0.6393442623,0.01692992353,-1.771345004
2801,233,366,159540,0.6366120219,0.01755672559,-1.755556479
2901,232,366,159540,0.6338797814,0.01818352764,-1.740321859
3001,231,366,159540,0.631147541,0.0188103297,-1.725603592
3101,229,366,159540,0.6256830601,0.01943713175,-1.711367821
3201,228,366,159540,0.6229508197,0.02006393381,-1.697583914
3301,227,366,159540,0.6202185792,0.02069073587,-1.684224063
3401,226,366,159540,0.6174863388,0.02131753792,-1.671262956
3501,225,366,159540,0.6147540984,0.02194433998,-1.658677477
3601,224,366,159540,0.6120218579,0.02257114203,-1.646446466
3701,223,366,159540,0.6092896175,0.02319794409,-1.634550503
3801,221,366,159540,0.6038251366,0.02382474615,-1.622971718
3901,220,366,159540,0.6010928962,0.0244515482,-1.611693637
4001,219,366,159540,0.5983606557,0.02507835026,-1.600701036
4101,218,366,159540,0.5956284153,0.02570515231,-1.589979818
4201,217,366,159540,0.5928961749,0.02633195437,-1.579516906
4301,217,366,159540,0.5928961749,0.02695875642,-1.569300145
4401,216,366,159540,0.5901639344,0.02758555848,-1.559318219
4501,215,366,159540,0.587431694,0.02821236054,-1.549560575
4601,214,366,159540,0.5846994536,0.02883916259,-1.540017354
4701,213,366,159540,0.5819672131,0.02946596465,-1.530679337
4801,213,366,159540,0.5819672131,0.0300927667,-1.521537882
4901,212,366,159540,0.5792349727,0.03071956876,-1.512584885
5001,211,366,159540,0.5765027322,0.03134637082,-1.503812733
5101,210,366,159540,0.5737704918,0.03197317287,-1.495214264
5101,210,366,159540,0.5737704918,0.03197317287,-1.495214264
5201,209,366,159540,0.5710382514,0.03259997493,-1.486782734
5301,208,366,159540,0.5683060109,0.03322677698,-1.478511783
5401,208,366,159540,0.5683060109,0.03385357904,-1.47039541
5501,207,366,159540,0.5655737705,0.0344803811,-1.462427943
5601,206,366,159540,0.5628415301,0.03510718315,-1.454604015
5701,206,366,159540,0.5628415301,0.03573398521,-1.446918547
5801,205,366,159540,0.5601092896,0.03636078726,-1.439366722
6001,204,366,159540,0.5573770492,0.03761439138,-1.424645961
6201,202,366,159540,0.5519125683,0.03886799549,-1.410407856
6301,202,366,159540,0.5519125683,0.03949479754,-1.403460108
6401,201,366,159540,0.5491803279,0.0401215996,-1.396621761
6501,200,366,159540,0.5464480874,0.04074840165,-1.389889422
6501,200,366,159540,0.5464480874,0.04074840165,-1.389889422
6601,200,366,159540,0.5464480874,0.04137520371,-1.383259855
6701,199,366,159540,0.543715847,0.04200200577,-1.37672997
6801,198,366,159540,0.5409836066,0.04262880782,-1.370296813
